They do not!	They do to!
A man may need to do that, and find it amusing; but a girl is bound by other laws.	I agree; but God put us on earth to take that risk.
I agree; but God put us on earth to take that risk.	It is only too possible.  Love requires a mutual harmony which is difficult, and it is even more difficult to make it last.
It is only too possible.  Love requires a mutual harmony which is difficult, and it is even more difficult to make it last.	That is true, but it seems to me impossible that you should be unhappy in love.
That is true, but it seems to me impossible that you should be unhappy in love.	But if, when I love, I am unhappy, I will know that my empty heart was my good fortune.
But if, when I love, I am unhappy, I will know that my empty heart was my good fortune.	It is nonetheless a misfortune, and you will know it when you love.
It is nonetheless a misfortune, and you will know it when you love.	Your word "empty" makes me laugh. Is it fortunate, or unfortunate?  If it is fortunate, I congratulate myself.  If it is unfortunate, I do not care, for I am not aware of it.
Your word "empty" makes me laugh. Is it fortunate, or unfortunate?  If it is fortunate, I congratulate myself.  If it is unfortunate, I do not care, for I am not aware of it.	Then you have never loved?  Your heart is empty.
Then you have never loved?  Your heart is empty.	Many worthy of attention; but valuing is something more.  I could value only someone whom I loved.
Many worthy of attention; but valuing is something more.  I could value only someone whom I loved.	What!  You have not met a man worthy of your attention?
What!  You have not met a man worthy of your attention?	That man has, perhaps, not yet been born.
That man has, perhaps, not yet been born.	Have you not a man whom you value?
Have you not a man whom you value?	Not one.
Not one.	How can I believe that there is not a man who has inspired desires in you?
How can I believe that there is not a man who has inspired desires in you?	Not even that.
Not even that.	But, for a time... a passing fancy?
But, for a time... a passing fancy?	Never.
Never.	Have you had one?
Have you had one?	No.
No.	Indeed, Miss Dorothy, I intend to have his blood as sure as my name's Roderick.
Indeed, Miss Dorothy, I intend to have his blood as sure as my name's Roderick.	Monster!  Your father was a tailor, and you are always thinking of the shop.  But I'll have my revenge, I will!  Roddy, will you see me insulted?
Monster!  Your father was a tailor, and you are always thinking of the shop.  But I'll have my revenge, I will!  Roddy, will you see me insulted?	Jump twenty feet!  You wouldn't dare to do any such thing on Daisy. There's the captain's horse, Black George, I've heard say that Captain Bes --
Jump twenty feet!  You wouldn't dare to do any such thing on Daisy. There's the captain's horse, Black George, I've heard say that Captain Bes --	Well, then, I'll tell you what I'd do.  I'd jump Daisy into the river, and swim you both across, where no enemy could follow us.
Well, then, I'll tell you what I'd do.  I'd jump Daisy into the river, and swim you both across, where no enemy could follow us.	What, with me on the pillion?  Would you kill poor me?
What, with me on the pillion?  Would you kill poor me?	I'd draw my sword, and cut my way through them.
I'd draw my sword, and cut my way through them.	Suppose, now, Roderick, you, who are such a hero, was passing over the bridge and the enemy on the other side.
Suppose, now, Roderick, you, who are such a hero, was passing over the bridge and the enemy on the other side.	But Captain Best is already known as a valiant soldier, and is famous as a man of fashion in London.  It is mighty well of you to fight farmers' boys, but to fight an Englishman is a very different matter.
But Captain Best is already known as a valiant soldier, and is famous as a man of fashion in London.  It is mighty well of you to fight farmers' boys, but to fight an Englishman is a very different matter.	If ever I meet him again, you shall see which is the best man of the two.  I'll fight him with sword or with pistol, captain as he is.
If ever I meet him again, you shall see which is the best man of the two.  I'll fight him with sword or with pistol, captain as he is.	Oh!  I can dance with you any day, and to dance with your own cousin at a ball as if you could find no other partner.  Besides, Roderick, Captain Best's a man, and you are only a boy, and you haven't a guinea in the world.
